c9,c9,i2,r4
Orestis,Chhabria,1995,2.21
Andrew,Thirunarayanan,1992,4.5
Orestis,Ranganathan,1992,2.54
Dhaval,Parekh,1965,1.76
Sandeep,Thirunarayanan,1989,2.77
Dhaval,Shah,1965,4.5
Dhaval,Chhabria,1901,1.78
Orestis,Polychroniou,2012,1.67
Kanna,Singh,2012,2.54
Sandeep,Singh,1992,2.21
Ashish,Biliris,1992,1.67
Dhaval,Biliris,1902,2.77
Harpreet,Biliris,1990,2.21
Dhaval,Ranganathan,1990,1.76
Ashish,Polychroniou,1995,1.87
Andrew,Parekh,2000,2.54
Vipul,Shah,1901,2.21
Sandeep,Polychroniou,1989,2.54
Alex,Ranganathan,1990,4.5
Ashish,Parekh,1901,3.54
Ashish,Singh,2000,2.77
Vipul,Parekh,1995,1.78
Harpreet,Lamping,1901,1.87
Jaimin,Singh,1965,1.76
Ashish,Thirunarayanan,1992,2.54
Vipul,Shah,1901,3.54
Kanna,Shah,1901,2.54
Ashish,Polychroniou,2012,2.21
Kanna,Biliris,1989,2.77
Kanna,Singh,1902,2.21
Dhaval,Singh,1995,2.77
Jaimin,Thirunarayanan,2012,2.21
Jaimin,Shah,1992,4.5
Jaimin,Thirunarayanan,1965,1.76
Vipul,Polychroniou,1992,1.67
Sandeep,Thirunarayanan,1965,1.76
Ashish,Biliris,2012,2.54
Kanna,Lamping,1901,1.76
Sandeep,Biliris,2012,1.78
Vipul,Lamping,1902,2.54
Orestis,Thirunarayanan,1902,1.78
Dhaval,Shah,2000,1.67
Kanna,Parekh,2012,3.54
Dhaval,Chhabria,1995,1.78
Ashish,Thirunarayanan,1901,2.54
Ashish,Polychroniou,1992,4.5
Vipul,Polychroniou,1902,1.76
Dhaval,Thirunarayanan,1992,1.76
Alex,Shah,2012,4.5
Ashish,Biliris,2012,1.76
Harpreet,Polychroniou,1902,2.21
Kanna,Biliris,1901,4.5
Harpreet,Chhabria,2000,2.54
Dhaval,Singh,1901,3.54
Ashish,Singh,1989,1.67
Dhaval,Biliris,1902,1.76
Dhaval,Biliris,1995,4.5
Dhaval,Polychroniou,1992,4.5
Jaimin,Singh,1995,1.78
Orestis,Lamping,1992,2.54
Andrew,Polychroniou,1990,1.78
Dhaval,Shah,1965,2.54
Vipul,Singh,1990,4.5
Andrew,Lamping,1995,2.21
Ashish,Lamping,2012,1.67
Andrew,Polychroniou,1992,1.87
Ashish,Parekh,1989,2.77
Sandeep,Chhabria,1995,2.77
Dhaval,Parekh,1990,1.78
Kanna,Singh,1902,1.67
Vipul,Lamping,1989,2.54
Harpreet,Shah,1995,2.54
Kanna,Lamping,1989,3.54
Jaimin,Singh,1965,1.67
Andrew,Singh,1902,2.21
Kanna,Biliris,2012,4.5
Sandeep,Polychroniou,1992,4.5
Jaimin,Ranganathan,1992,1.78
Andrew,Singh,2000,4.5
Jaimin,Singh,1992,2.54
Vipul,Parekh,2000,1.67
Ashish,Chhabria,1995,2.54
Alex,Thirunarayanan,1995,1.78
Orestis,Shah,1990,3.54
Vipul,Chhabria,2012,3.54
Jaimin,Chhabria,1965,3.54
Alex,Shah,1902,1.67
Andrew,Polychroniou,1902,1.87
Andrew,Singh,2012,1.87
Dhaval,Thirunarayanan,1902,3.54
Jaimin,Singh,1995,1.76
Ashish,Ranganathan,1995,2.77
Dhaval,Thirunarayanan,2000,1.87
Orestis,Thirunarayanan,1992,2.21
Harpreet,Singh,1902,1.67
Orestis,Chhabria,1902,1.87
Andrew,Singh,1990,1.76
Sandeep,Polychroniou,2000,1.67
Jaimin,Parekh,1902,2.54
Harpreet,Biliris,2000,1.78
Dhaval,Polychroniou,1902,2.54
Harpreet,Ranganathan,1990,4.5
Orestis,Polychroniou,2000,2.77
Jaimin,Parekh,1989,2.77
Sandeep,Parekh,2012,3.54
Orestis,Shah,1901,3.54
Vipul,Singh,1901,1.78
Harpreet,Singh,1901,2.21
Orestis,Biliris,1965,1.67
Sandeep,Thirunarayanan,2000,2.77
Harpreet,Thirunarayanan,1990,2.77
Dhaval,Shah,1965,1.67
Harpreet,Chhabria,2012,4.5
Alex,Lamping,1965,2.21
Dhaval,Thirunarayanan,1901,1.87
Dhaval,Singh,1902,1.67
Orestis,Parekh,1989,2.21
Harpreet,Singh,1901,2.21
Dhaval,Singh,1901,2.77
Alex,Polychroniou,1902,1.78
Jaimin,Chhabria,2000,2.21
Harpreet,Chhabria,1901,1.76
Jaimin,Singh,1992,1.78
Andrew,Lamping,1989,1.78
Jaimin,Singh,2012,2.77
Vipul,Singh,1992,1.76
Andrew,Singh,1965,2.77
Vipul,Singh,2012,1.67
Ashish,Lamping,2000,1.67
Andrew,Ranganathan,1989,1.76
Harpreet,Thirunarayanan,1990,3.54
Ashish,Lamping,1902,3.54
Kanna,Singh,2012,1.67
Sandeep,Parekh,1995,3.54
Harpreet,Biliris,2012,4.5
Jaimin,Lamping,2012,2.54
Harpreet,Singh,1901,1.87
Alex,Lamping,1990,1.87
Harpreet,Thirunarayanan,1902,1.87
Andrew,Parekh,1992,1.87
Dhaval,Parekh,2000,4.5
Sandeep,Singh,1989,1.78
Ashish,Biliris,2000,2.54
Jaimin,Shah,1989,2.77
Orestis,Singh,2012,1.76
Kanna,Singh,1902,2.21
Ashish,Singh,1992,4.5
Jaimin,Chhabria,1990,4.5
Alex,Singh,1901,2.54
Jaimin,Singh,1989,2.77
Dhaval,Shah,1992,4.5
Alex,Thirunarayanan,1965,4.5
Orestis,Singh,1989,2.21
Ashish,Biliris,1990,2.54
Vipul,Singh,1902,1.87
Andrew,Chhabria,1965,1.78
Jaimin,Ranganathan,2000,1.76
Ashish,Polychroniou,1965,1.87
Alex,Shah,1989,2.54
Ashish,Parekh,1992,4.5
Harpreet,Shah,1965,1.76
Dhaval,Chhabria,1995,2.77
Dhaval,Chhabria,2000,1.78
Sandeep,Polychroniou,1901,3.54
Orestis,Thirunarayanan,1989,3.54
Sandeep,Ranganathan,2012,3.54
Orestis,Ranganathan,1902,1.76
Harpreet,Parekh,1992,1.67
Andrew,Singh,1990,2.54
Kanna,Lamping,1992,2.21
Ashish,Singh,2000,1.67
Jaimin,Lamping,1901,2.77
Vipul,Lamping,1990,3.54
Kanna,Singh,1995,4.5
Kanna,Singh,1995,2.21
Orestis,Biliris,1990,2.54
Sandeep,Parekh,2012,4.5
Dhaval,Polychroniou,1995,2.77
Harpreet,Parekh,1995,1.78
Jaimin,Parekh,1989,4.5
Jaimin,Shah,1989,1.87
Harpreet,Chhabria,2012,1.76
Orestis,Polychroniou,1990,1.76
Andrew,Lamping,1995,1.76
Kanna,Polychroniou,1990,1.78
Dhaval,Chhabria,2012,2.77
Jaimin,Lamping,1901,1.67
Sandeep,Singh,1995,2.54
Kanna,Thirunarayanan,1990,3.54
Vipul,Chhabria,1992,4.5
Kanna,Singh,1989,1.76
Dhaval,Polychroniou,1992,1.87
Harpreet,Singh,1992,4.5
Andrew,Singh,1989,2.54
Harpreet,Biliris,2000,1.87
Ashish,Singh,1901,2.54
Alex,Singh,2012,3.54
Sandeep,Singh,1990,1.87
Andrew,Singh,1989,1.67
Sandeep,Singh,1902,1.76
Harpreet,Singh,1989,2.21
Harpreet,Singh,1902,2.77
Jaimin,Singh,1990,1.87
Andrew,Lamping,1995,1.67
Harpreet,Chhabria,1901,2.77
Kanna,Singh,1992,3.54
Vipul,Singh,1990,2.77
Sandeep,Singh,1965,3.54
Harpreet,Lamping,1989,2.54
Vipul,Ranganathan,2000,1.76
Vipul,Parekh,1992,1.87
Vipul,Ranganathan,2012,2.21
Sandeep,Shah,2012,2.54
Andrew,Shah,1990,2.54
Dhaval,Biliris,1995,2.54
Alex,Shah,2000,1.67
Vipul,Thirunarayanan,1992,1.67
Vipul,Singh,1902,4.5
Alex,Singh,1992,1.78
Alex,Lamping,1965,2.77
Kanna,Parekh,1901,1.87
Ashish,Chhabria,1995,2.21
Sandeep,Singh,1901,1.76
Ashish,Ranganathan,1902,1.67
Alex,Parekh,1902,1.76
Ashish,Shah,1990,4.5
Vipul,Lamping,1901,2.21
Vipul,Chhabria,1901,2.77
Kanna,Lamping,1989,1.78
Kanna,Chhabria,1992,2.77
Alex,Chhabria,1995,3.54
Alex,Parekh,1902,2.21
Sandeep,Lamping,1995,2.54
Orestis,Polychroniou,1990,4.5
Kanna,Parekh,1901,4.5
Alex,Singh,1990,4.5
Alex,Polychroniou,1965,2.21
Jaimin,Parekh,1901,1.87
Jaimin,Singh,1990,1.67
Harpreet,Polychroniou,2012,1.78
Orestis,Parekh,1992,1.76
Harpreet,Shah,2012,1.78
Sandeep,Parekh,1989,4.5
Orestis,Thirunarayanan,1990,4.5
Andrew,Biliris,1992,2.54
Dhaval,Ranganathan,1901,1.67
Orestis,Parekh,2000,1.76
Ashish,Ranganathan,1901,1.76
Kanna,Ranganathan,2012,4.5
Dhaval,Chhabria,1995,2.54
Jaimin,Ranganathan,1990,1.76
Harpreet,Ranganathan,1902,3.54
Orestis,Thirunarayanan,1965,2.54
Vipul,Singh,1901,1.76
Dhaval,Ranganathan,1992,2.21
Kanna,Biliris,2012,4.5
Harpreet,Singh,2000,2.54
Andrew,Polychroniou,1989,2.77
Dhaval,Singh,1995,2.21
Andrew,Lamping,1989,2.77
Alex,Shah,1901,2.77
Harpreet,Lamping,1965,2.21
Orestis,Parekh,1989,2.54
Kanna,Thirunarayanan,1965,2.77
Sandeep,Biliris,2000,1.87
Ashish,Singh,1992,4.5
Vipul,Lamping,1995,2.54
Kanna,Singh,1901,2.54
Harpreet,Ranganathan,1989,1.67
Alex,Chhabria,1965,1.76
Dhaval,Ranganathan,1992,1.87
Ashish,Biliris,1990,1.76
Ashish,Lamping,2012,2.21
Andrew,Chhabria,2000,2.77
Orestis,Thirunarayanan,1990,1.78
Kanna,Singh,1902,2.77
Harpreet,Biliris,1995,1.67
Vipul,Polychroniou,1901,4.5
Orestis,Polychroniou,1965,2.54
Dhaval,Singh,1992,1.67
Sandeep,Biliris,1902,2.77
Sandeep,Biliris,1965,1.76
Jaimin,Lamping,1965,2.21
Orestis,Shah,2000,4.5
Orestis,Parekh,1990,2.21
Andrew,Singh,1902,1.78
Jaimin,Polychroniou,1995,2.77
Harpreet,Lamping,1902,4.5
Orestis,Ranganathan,1992,2.54
Andrew,Shah,2012,2.21
Harpreet,Polychroniou,1989,2.21
Orestis,Singh,1965,4.5
Dhaval,Parekh,1965,2.21
Kanna,Ranganathan,1992,2.77
Kanna,Parekh,2000,1.87
Ashish,Lamping,1902,2.54
Ashish,Chhabria,2012,2.54
Vipul,Shah,2000,1.87
Ashish,Chhabria,1901,3.54
Vipul,Chhabria,1995,1.67
Dhaval,Biliris,2012,2.21
Vipul,Thirunarayanan,2012,2.54
Andrew,Parekh,1990,3.54
Vipul,Polychroniou,2000,2.54
Vipul,Shah,2012,2.54
Harpreet,Singh,2000,1.76
Alex,Polychroniou,1995,1.76
Dhaval,Lamping,2000,1.67
Ashish,Polychroniou,2012,2.77
Jaimin,Parekh,1901,2.21
Ashish,Singh,1990,1.76
Dhaval,Thirunarayanan,1990,2.21
Jaimin,Thirunarayanan,1965,2.54
Ashish,Singh,1990,4.5
Kanna,Parekh,1901,2.21
Alex,Shah,1902,4.5
Sandeep,Thirunarayanan,1965,1.76
Jaimin,Singh,1990,2.21
Kanna,Parekh,2000,1.67
Ashish,Parekh,1902,1.76
Kanna,Ranganathan,1902,1.87
Ashish,Ranganathan,1902,1.67
Sandeep,Biliris,1995,1.67
Vipul,Ranganathan,1989,1.87
Sandeep,Lamping,1995,2.77
Dhaval,Biliris,1995,1.67
Sandeep,Chhabria,1992,1.78
Sandeep,Biliris,2012,1.87
Andrew,Lamping,1992,2.54
Sandeep,Parekh,1902,2.54
Ashish,Biliris,1992,4.5
Dhaval,Polychroniou,2012,1.78
Kanna,Biliris,2012,2.54
Dhaval,Parekh,1992,3.54
Vipul,Chhabria,1901,1.78
Kanna,Shah,1992,4.5
Ashish,Chhabria,1901,3.54
Jaimin,Chhabria,1902,1.67
Andrew,Shah,1990,1.67
Orestis,Singh,1989,1.87
Kanna,Shah,2000,2.21
Sandeep,Chhabria,2012,1.76
Ashish,Singh,1965,2.77
Ashish,Singh,1965,4.5
Dhaval,Ranganathan,1995,1.87
Alex,Chhabria,1990,1.76
Dhaval,Biliris,2000,1.78
Orestis,Parekh,1901,3.54
Andrew,Thirunarayanan,2000,1.67
Harpreet,Thirunarayanan,1902,3.54
Dhaval,Parekh,1965,2.77
Alex,Lamping,1965,1.87
Vipul,Singh,1995,1.78
Jaimin,Shah,1965,4.5
Andrew,Biliris,1990,1.67
Vipul,Shah,1992,4.5
Harpreet,Lamping,1990,2.21
Jaimin,Parekh,1901,1.87
Sandeep,Lamping,1989,2.21
Harpreet,Chhabria,1992,2.21
Jaimin,Ranganathan,1990,1.67
Alex,Biliris,1990,2.54
Kanna,Thirunarayanan,2012,4.5
Kanna,Polychroniou,1901,4.5
Ashish,Polychroniou,1965,1.76
Vipul,Ranganathan,2012,2.54
Ashish,Lamping,1990,1.76
Harpreet,Singh,1992,4.5
Vipul,Singh,1995,2.77
Kanna,Ranganathan,1990,2.77
Orestis,Biliris,2000,3.54
Alex,Biliris,2000,1.87
Jaimin,Singh,1902,4.5
Vipul,Biliris,1995,3.54
Vipul,Shah,2000,1.78
Kanna,Ranganathan,1901,1.67
Vipul,Thirunarayanan,1990,1.67
Orestis,Lamping,1995,1.67
Andrew,Parekh,2012,2.77
Kanna,Chhabria,1902,3.54
Kanna,Polychroniou,2012,2.54
Orestis,Chhabria,2012,4.5
Jaimin,Singh,1990,1.76
Alex,Shah,2012,1.76
Dhaval,Chhabria,1965,1.78
Andrew,Biliris,1992,1.76
Vipul,Ranganathan,2012,1.67
Andrew,Biliris,2000,2.77
Ashish,Polychroniou,1990,2.77
Orestis,Parekh,1902,2.77
Vipul,Ranganathan,1901,2.54
Sandeep,Polychroniou,1990,1.76
Dhaval,Chhabria,2012,2.21
Ashish,Ranganathan,1965,4.5
Andrew,Biliris,1901,1.78
Harpreet,Chhabria,1902,1.78
Kanna,Singh,1965,1.76
Harpreet,Lamping,1902,1.76
Ashish,Shah,1990,1.76
Sandeep,Lamping,1990,2.77
Alex,Thirunarayanan,1965,3.54
Ashish,Parekh,1992,1.87
Harpreet,Biliris,1995,2.21
Vipul,Lamping,1965,1.87
Dhaval,Shah,1989,1.67
Kanna,Singh,1902,2.77
Orestis,Singh,2012,3.54
Orestis,Shah,1992,3.54
Sandeep,Parekh,1965,1.78
Vipul,Singh,1992,1.78
Jaimin,Thirunarayanan,1902,2.54
Vipul,Parekh,1995,1.67
Kanna,Chhabria,1989,2.54
Vipul,Chhabria,2012,2.54
Harpreet,Shah,1992,3.54
Dhaval,Chhabria,1990,1.78
Orestis,Singh,1995,2.54
Vipul,Chhabria,2000,2.77
Dhaval,Chhabria,1902,2.77
Jaimin,Lamping,2012,1.78
Sandeep,Parekh,2012,4.5
Alex,Parekh,1902,1.87
Orestis,Chhabria,1995,1.78
Ashish,Thirunarayanan,1965,1.87
Dhaval,Lamping,1992,1.87
Orestis,Singh,1990,2.21
Kanna,Singh,1992,2.54
Kanna,Shah,1990,1.87
Orestis,Singh,2000,1.76
Harpreet,Parekh,1995,1.67
Dhaval,Polychroniou,1965,2.77
Dhaval,Parekh,1965,3.54
Jaimin,Singh,1989,1.76
Sandeep,Polychroniou,1902,1.78
Dhaval,Chhabria,1965,2.77
Alex,Parekh,1990,1.78
Dhaval,Parekh,1902,2.21
Vipul,Polychroniou,1995,1.78
Orestis,Singh,1965,1.78
Orestis,Lamping,2000,1.87
Harpreet,Shah,1992,1.87
Alex,Chhabria,2012,1.67
Ashish,Polychroniou,2000,1.78
Orestis,Singh,1965,2.77
Jaimin,Ranganathan,1995,1.78
Alex,Polychroniou,2012,1.76
Alex,Thirunarayanan,1992,3.54
Sandeep,Biliris,1901,2.77
Jaimin,Thirunarayanan,1989,2.21
Kanna,Ranganathan,1901,3.54
Ashish,Polychroniou,1995,1.67
Sandeep,Parekh,1990,1.78
Orestis,Lamping,1989,2.77
Andrew,Parekh,1965,2.21
Orestis,Ranganathan,2012,1.76
Ashish,Shah,1965,1.67
Andrew,Singh,2012,1.78
Sandeep,Thirunarayanan,1902,3.54
Ashish,Chhabria,1995,2.54
